SiteID;CoreID;Ecosystem;Specie;Min.D;Max.D;Age;DBD;OM;OC;Centro;h;POC
Santa Maria;SM10;Seagrass;Posidonia oceanica;79.63439197;80.75225505;298.95;1.29656744;3.509320004;0.5584968;80.19332351;4.51344388;0.032683145
Santa Maria;SM10;Seagrass;Posidonia oceanica;81.86527041;82.97363741;309.95;1.337684276;2.138377712;0.5854896;82.41945391;2.2261304;0.017435058
Santa Maria;SM10;Seagrass;Posidonia oceanica;84.07754726;85.17718327;320.95;1.457613763;1.830752751;0.5206702;84.62736527;2.207911355;0.016756635
Santa Maria;SM10;Seagrass;Posidonia oceanica;86.27272123;87.3643297;331.95;1.25055994;1.94375925;0.5607035;86.81852547;2.1911602;0.015364269
Santa Maria;SM10;Seagrass;Posidonia oceanica;88.45217029;89.53639797;345.6666667;1.3561106;2.479194043;0.6792004;88.99428413;2.175758665;0.020040279
Santa Maria;SM10;Seagrass;Posidonia oceanica;90.61716135;91.69460292;360.1;1.244201069;2.45783541;0.6295215;91.15588214;2.161598005;0.016930745
Santa Maria;SM10;Seagrass;Posidonia oceanica;97.03657357;98.09676462;395.8;1.404824366;2.761641748;0.6023852;97.5666691;6.41078696;0.05425099
Santa Maria;SM10;Seagrass;Posidonia oceanica;99.15448;100.2098215;407.7;1.359988174;3.001564333;0.5973856;99.68215075;2.115481655;0.017186963
Santa Maria;SM10;Seagrass;Posidonia oceanica;101.2628869;102.3137696;419.7;1.200377999;3.184910328;0.5176802;101.7883283;2.1061775;0.013088038
Santa Maria;SM10;Seagrass;Posidonia oceanica;103.3625595;104.4093427;431.65;1.423140309;3.264686343;0.5575551;103.8859511;2.09762285;0.0166442
Santa Maria;SM10;Seagrass;Posidonia oceanica;105.4542017;106.4972156;443.6;1.216594409;3.510082151;0.6502771;105.9757087;2.08975755;0.016532563
Santa Maria;SM10;Seagrass;Posidonia oceanica;107.5384603;108.5780087;461.6;1.430201026;3.368075661;0.5881862;108.0582345;2.08252585;0.017518718
Santa Maria;SM10;Seagrass;Posidonia oceanica;109.6159304;110.6522923;473.65;1.302762177;4.010695187;0.6039396;110.1341114;2.07587685;0.016332785
Santa Maria;SM10;Seagrass;Posidonia oceanica;111.6871587;112.7205911;486.1;1.39191194;3.886397608;0.5947008;112.2038749;2.06976355;0.017132905
Santa Maria;SM10;Seagrass;Posidonia oceanica;113.7526483;114.7833871;498.5;0.991689366;3.654518223;0.6531122;114.2680177;2.0641428;0.013369131
Santa Maria;SM10;Seagrass;Posidonia oceanica;115.8128615;116.8411237;511.35;1.25372401;3.4568888;0.6447878;116.3269926;2.0589749;0.016644464
Santa Maria;SM10;Seagrass;Posidonia oceanica;117.8682234;118.8942085;524.25;1.778589124;3.773950068;0.6190633;118.381216;2.05422335;0.022618216
Santa Maria;SM10;Seagrass;Posidonia oceanica;119.9191249;120.9430164;537.15;1.582741949;4.102306921;0.6027541;120.4310707;2.0498547;0.0195557
Santa Maria;SM10;Seagrass;Posidonia oceanica;121.9659252;122.9878918;549.95;1.460977018;4.043545879;0.5110729;122.4769085;2.04583785;0.015275571
Santa Maria;SM10;Seagrass;Posidonia oceanica;124.008955;125.0291518;562.8;1.592459611;3.826606876;0.6792788;124.5190534;2.0421449;0.022090373
Santa Maria;SM10;Seagrass;Posidonia oceanica;126.0485179;127.0670874;575.1;1.361813406;3.621574513;0.5675382;126.5578027;2.03874925;0.015757108
Santa Maria;SM10;Seagrass;Posidonia oceanica;128.0848932;129.1019666;587.25;1.536912864;3.795162433;0.5502528;128.5934299;2.03562725;0.017215108
Santa Maria;SM10;Seagrass;Posidonia oceanica;130.1183378;131.1340357;599.25;1.368104473;3.565961279;0.596889;130.6261868;2.03275685;0.016599625
Santa Maria;SM10;Seagrass;Posidonia oceanica;132.1490879;133.163521;610.75;1.517328741;3.220322977;0.6560685;132.6563045;2.0301177;0.020209245
Santa Maria;SM10;Seagrass;Posidonia oceanica;134.1773604;135.1906307;622.25;1.470209309;3.220799379;0.4991356;134.6839956;2.0276911;0.014879883
Santa Maria;SM10;Seagrass;Posidonia oceanica;136.2033551;137.2155562;633.7;1.56468859;3.685300207;0.637148;136.7094557;2.0254601;0.020192586
Santa Maria;SM10;Seagrass;Posidonia oceanica;138.2272554;139.2384734;645.3;1.649548196;1.984047856;0.5985198;138.7328644;2.02340875;0.019976857
Santa Maria;SM10;Seagrass;Posidonia oceanica;140.2492301;141.2595443;656.95;1.319198991;2.019417476;0.5522506;140.7543872;2.0215228;0.014727368
Santa Maria;SM10;Seagrass;Posidonia oceanica;142.2694343;143.2789175;668.35;1.290995179;2.395977125;0.5579453;142.7741759;2.0197887;0.014548633
Santa Maria;SM10;Seagrass;Posidonia oceanica;144.2880107;145.2967299;679.65;1.628111949;2.291528002;0.4825189;144.7923703;2.0181944;0.01585483
Santa Maria;SM10;Seagrass;Posidonia oceanica;149.3281648;150.3352324;708.25;1.526046864;2.702966432;0.3791914;149.8316986;5.0393283;0.029160771
Santa Maria;SM10;Seagrass;Posidonia oceanica;150.3352324;151.3420094;713.95;1.626539256;2.860871311;0.4714569;150.8386209;1.0069223;0.007721515
Santa Maria;SM10;Seagrass;Posidonia oceanica;152.3485075;153.3547385;725.35;1.383749014;2.462496462;0.4410213;152.851623;2.0130021;0.012284603
Santa Maria;SM10;Seagrass;Posidonia oceanica;156.3719353;157.3772026;749.15;1.723116601;2.894791451;0.4601588;156.874569;4.02294595;0.031898231
Santa Maria;SM10;Seagrass;Posidonia oceanica;158.3822533;159.3870962;761.85;1.30150921;3.298907049;0.4876491;158.8846748;2.0101058;0.012757735
Santa Maria;SM10;Seagrass;Posidonia oceanica;160.39174;161.3961927;774.5;1.219374809;2.154280339;0.509570867;160.8939664;2.0092916;0.012484892
