site;core;ecosystem;species;compresion;mind;maxd;dbd;om;oc;age
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;94;96;1.170650294;;;2996
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;96;98;1.408618524;2.702774961;;3068
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;98;100;1.295225057;;;3140
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;100;102;1.143273371;2.289725771;1.000458323;3211
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;102;104;1.157476637;;;3284
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;104;106;1.269840495;2.337360508;;3356
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;106;108;1.191742586;;;3429
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;108;110;1.162865374;2.209406827;;3502
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;110;112;1.190234275;;;3576
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;112;114;1.214621318;;3.045988481;3657
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;114;116;1.149100695;;;3738
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;116;118;1.23441657;2.628014912;;3810
Sg_02;Sg_02_01;Seagrass;Posidonia oceanica;11.33;118;120;1.184155566;;;3873
Sg_02;Sg_02_02;Seagrass;Posidonia oceanica;1.24;0.1;3.3;1.12081;0.60457583;0.133857922;
Sg_02;Sg_02_02;Seagrass;Posidonia oceanica;1.24;3.4;6.6;1.08845;0.559153005;0.254554756;
Sg_02;Sg_02_02;Seagrass;Posidonia oceanica;1.24;8.4;11.6;1.09442;0.784571973;0.262318531;
Sg_02;Sg_02_02;Seagrass;Posidonia oceanica;1.24;18.4;21.6;0.8928;0.828719474;0.431001194;
Sg_02;Sg_02_03;Seagrass;Posidonia oceanica;5.45;0.1;3.3;0.95468;3.887725281;1.93714518;
Sg_02;Sg_02_03;Seagrass;Posidonia oceanica;5.45;3.4;6.6;1.122145;2.212771199;1.23124752;
Sg_02;Sg_02_03;Seagrass;Posidonia oceanica;5.45;8.4;11.6;0.9097;3.767385663;1.243720997;
Sg_02;Sg_02_03;Seagrass;Posidonia oceanica;5.45;13.4;16.6;1.070215;2.652942311;1.158642203;
Sg_02;Sg_02_03;Seagrass;Posidonia oceanica;5.45;23.4;26.6;1.055215;2.402719812;1.748920254;
Sg_02;Sg_02_03;Seagrass;Posidonia oceanica;5.45;48.4;51.6;0.980585;3.529659581;1.94145176;
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;0;2;1.963923016;2.285657685;0.550850615;99
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;2;4;1.292360878;2.687075608;;222
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;4;6;1.466642521;2.10474158;;321
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;6;8;1.644109959;1.662059231;;420
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;8;10;1.680879912;1.366384646;;493
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;10;12;1.60925981;1.194322334;;592
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;12;14;1.478076185;1.183413298;;665
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;14;16;1.737479784;1.178592821;;739
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;16;18;1.804280518;1.312127986;;811
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;18;20;1.26753243;1.191129838;;884
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;20;22;1.302976482;1.653788323;0.245909322;958
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;22;24;1.319117917;1.588205066;;1032
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;24;26;1.413378087;1.593647538;;1080
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;26;28;1.182071553;1.413126702;;1152
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;28;30;1.164042265;;0.468440625;1200
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;30;32;1.479284632;;;1274
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;32;34;1.152565371;2.262408228;;1323
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;34;36;1.130608729;1.187918977;;1372
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;36;38;1.894182016;;;1447
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;38;40;0.518874019;;;1496
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;40;42;0.247982525;;0.414838254;1545
Sg_03;Sg_03_01;Seagrass;Zostera noltii;30.66;42;45;1.178458755;1.168697601;0.082424181;1618
Sg_03;Sg_03_02;Seagrass;Zostera noltii;14.06;0.2;1.8;0.999565;2.291758484;0.387197106;
Sg_03;Sg_03_02;Seagrass;Zostera noltii;14.06;4.2;5.8;1.32745;1.641978086;0.274198562;
Sg_03;Sg_03_02;Seagrass;Zostera noltii;14.06;9.2;10.8;1.548855;2.028012344;0.298988614;
Sg_03;Sg_03_02;Seagrass;Zostera noltii;14.06;19.2;20.8;1.3409;2.403317521;;
Sg_03;Sg_03_02;Seagrass;Zostera noltii;14.06;34.2;35.8;1.335975;2.231155779;;
Sg_03;Sg_03_03;Seagrass;Zostera noltii;14.7;0.2;1.8;1.144455;1.65;0.231484507;
Sg_03;Sg_03_03;Seagrass;Zostera noltii;14.7;4.2;5.8;1.404585;1.284098895;0.099520718;
Sg_03;Sg_03_03;Seagrass;Zostera noltii;14.7;9.2;10.8;1.34244;2.06061417;0.383300283;
